VAR_12_banking-2131611442.uml	 strategy
VAR_6_banking-2167813941.uml	 strategy
VAR_11_banking-6785257631.uml	 strategy
VAR_0_banking-1197913168.uml	 strategy
VAR_5_banking-6991663485.uml	 strategy
VAR_14_banking-7796725164.uml	 strategy
VAR_7_banking-2286339461.uml	 strategy
VAR_0_banking-9271262573.uml	 strategy
VAR_All_banking-4711171122.uml	 strategy
VAR_All_banking-1112939492.uml	 strategy
VAR_13_banking-4357888135.uml	 strategy
VAR_11_banking-5867722419.uml	 strategy
VAR_4_banking-7594511118.uml	 strategy
VAR_8_banking-4152124465.uml	 strategy
VAR_14_banking-9141585245.uml	 strategy
VAR_9_banking-8482826585.uml	 strategy
VAR_3_banking-2175517632.uml	 strategy
VAR_All_banking-2664657623.uml	 strategy
VAR_10_banking-3654273461.uml	 strategy
VAR_2_banking-1865454865.uml	 strategy
VAR_4_banking-1248413453.uml	 strategy
VAR_1_banking-5112412213.uml	 strategy
